Step,Temperature,Humidity,Light,CO2,HumidityRatio,Action,Reward
57,0.7580198,0.66933405,0.2695537,0.6784646,0.8431035,1,1
58,0.75326735,0.6711123,0.2733834,0.680277,0.841582,1,1
59,0.7580198,0.66399926,0.2733834,0.67555785,0.8387768,1,1
60,0.75405943,0.67698056,0.2733834,0.68222624,0.8468304,1,1
61,0.7580198,0.68284875,0.27780232,0.6937676,0.85406494,1,1
62,0.7421782,0.68284875,0.28025728,0.69453704,0.8441593,1,1
63,0.7520792,0.68284875,0.27780232,0.6935111,0.85034615,1,1
64,0.7342574,0.68284875,0.27559286,0.70223135,0.83921975,1,1
65,0.73821783,0.68640524,0.2748564,0.69573396,0.8445584,1,1
66,0.7342574,0.7041878,0.2733834,0.6940241,0.856423,1,1
67,0.7342574,0.7041878,0.27515098,0.707566,0.856423,1,1
68,0.7342574,0.7015204,0.27559286,0.71172094,0.85427254,1,1
69,0.7342574,0.6952965,0.2748564,0.705993,0.8492548,1,1
70,0.7342574,0.69992,0.27043748,0.71043855,0.8529822,1,1
71,0.7342574,0.6881835,0.2733834,0.71428573,0.8435204,1,1
72,0.7342574,0.6935183,0.27691853,0.70633495,0.8478212,1,1
73,0.7299802,0.6935183,0.2733834,0.71741474,0.84514797,1,1
74,0.7128713,0.6740464,0.2733834,0.7030008,0.8188705,1,1
75,0.72,0.68284875,0.2645456,0.69453704,0.8303509,1,1
76,0.7342574,0.68284875,0.2733834,0.69812775,0.83921975,1,1
77,0.7164357,0.6970748,0.27240142,0.7184748,0.8395541,1,1
78,0.7128713,0.6935183,0.27632937,0.71941525,0.8344811,1,1
79,0.7128713,0.698853,0.27632937,0.7147987,0.8387583,1,1
80,0.7128713,0.6956522,0.27632937,0.72110796,0.836192,1,1
81,0.7128713,0.7041878,0.2733834,0.72890484,0.8430356,1,1
82,0.7128713,0.7041878,0.2689645,0.7350603,0.8430356,1,1
83,0.7128713,0.7061083,0.2692591,0.7309567,0.84457546,1,1
84,0.7128713,0.71379036,0.26528206,0.73018724,0.850735,1,1
85,0.7128713,0.71379036,0.262778,0.75899804,0.850735,1,1
86,0.6986139,0.71379036,0.2660775,0.75106436,0.8418177,1,1
87,0.7009901,0.7244598,0.26793343,0.7491664,0.8518311,1,1
88,0.7009901,0.7244598,0.2639564,0.7509618,0.8518311,1,1
89,0.7081188,0.71805817,0.26159966,0.74778146,0.8511773,1,1
90,0.6930693,0.7303281,0.26159966,0.75147474,0.85155094,1,1
91,0.6986139,0.73150176,0.26159966,0.7615286,0.85596764,1,1
92,0.6891089,0.73619634,0.26159966,0.7680602,0.8537456,1,1
93,0.6891089,0.74419844,0.26159966,0.76711977,0.8601235,1,1
94,0.6891089,0.72744733,0.26159966,0.7582457,0.8467727,1,1
95,0.6891089,0.62149906,0.26159966,0.73121315,0.7623579,1,1
96,0.67960393,0.6051747,0.26159966,0.67884076,0.74365187,1,1
97,0.670099,0.5821286,0.25629696,0.6310336,0.7196961,1,1
98,0.66772276,0.6101716,0.2545294,0.63975376,0.7404974,1,1
99,0.66534656,0.63821465,0.2527618,0.648474,0.7612754,1,1
100,0.66534656,0.62480664,0.2527618,0.6536035,0.75066036,1,1
101,0.6609901,0.6197208,0.2527618,0.6505942,0.7440195,1,1
102,0.66534656,0.62167686,0.2527618,0.6471745,0.74818265,1,1
103,0.66534656,0.6314217,0.2527618,0.65052575,0.7558974,1,1
104,0.6609901,0.6366142,0.2527618,0.65948534,0.7573786,1,1
105,0.65227723,0.6401707,0.2527618,0.663247,0.7549331,1,1
106,0.66534656,0.6401707,0.2527618,0.67581433,0.76282406,1,1
107,0.6548911,0.6508402,0.2527618,0.6792511,0.76493424,1,1
108,0.65881187,0.6401707,0.2527618,0.67453194,0.75887567,1,1
109,0.65227723,0.64372724,0.2527618,0.67453194,0.7577394,1,1
110,0.66534656,0.6508402,0.2527618,0.6776096,0.77127165,1,1
111,0.65227723,0.6508402,0.2527618,0.6814568,0.7633522,1,1
112,0.66534656,0.64372724,0.2527618,0.6810293,0.7656399,1,1
113,0.64443564,0.6401707,0.2527618,0.67781484,0.75020975,1,1
114,0.6392079,0.6401707,0.2527618,0.67709666,0.74706554,1,1
115,0.6392079,0.62480664,0.2545294,0.66858166,0.7349838,1,1
116,0.63326734,0.61243,0.25497127,0.66658115,0.7217171,1,1
117,0.6352475,0.5957144,0.2586537,0.6531589,0.70976585,1,1
118,0.6352475,0.58682317,0.2527618,0.6451911,0.7027828,1,1
119,0.6392079,0.58682317,0.25497127,0.6320595,0.7051193,1,1
120,0.6213861,0.5702854,0.25497127,0.6278533,0.6816803,1,1
121,0.6273267,0.56263894,0.25718072,0.61673933,0.6791626,1,1
122,0.61544555,0.5617498,0.2580645,0.60825855,0.67154175,1,1
123,0.61544555,0.5441451,0.26159966,0.60579634,0.6577887,1,1
124,0.61544555,0.5410967,0.25654945,0.6028652,0.65540737,1,1
125,0.61544555,0.5299191,0.25570777,0.5938275,0.64667606,1,1
126,0.61544555,0.52493995,0.2545294,0.5899974,0.64278686,1,1
127,0.6111683,0.5157642,0.2580645,0.5803539,0.6331715,1,1
128,0.60831684,0.5039566,0.2586537,0.5702317,0.6223354,1,1
129,0.5940594,0.49655908,0.2545294,0.5629136,0.608485,1,1
130,0.59940594,0.49079755,0.25497127,0.5675814,0.6070323,1,1
131,0.5940594,0.4890193,0.25570777,0.5579208,0.6026292,1,1
132,0.5940594,0.47301504,0.26159966,0.5531333,0.5902001,1,1
133,0.5940594,0.46554637,0.26159966,0.54937166,0.58440024,1,1
134,0.5940594,0.4635903,0.26012668,0.53842866,0.5828813,1,1
135,0.5940594,0.4523873,0.26159966,0.53398305,0.574182,1,1
136,0.5940594,0.44385168,0.26159966,0.53090537,0.56755424,1,1
137,0.5940594,0.43745,0.25983208,0.5274173,0.5625836,1,1
138,0.5940594,0.43318218,0.2580645,0.5153116,0.55927,1,1
139,0.5940594,0.41824487,0.25983208,0.50915617,0.54767287,1,1
140,0.5940594,0.42678046,0.25939018,0.50423187,0.55429965,1,1
141,0.5940594,0.41611096,0.2586537,0.50346243,0.54601616,1,1
142,0.5940594,0.4090691,0.2580645,0.5046422,0.54054934,1,1
143,0.5940594,0.40828666,0.2586537,0.5127811,0.5399419,1,1
144,0.5940594,0.39637238,0.25497127,0.50551426,0.5306929,1,1
145,0.58930695,0.3917845,0.2545294,0.48720184,0.52454287,1,1
146,0.579802,0.38367563,0.2527618,0.48925364,0.51310277,1,1
147,0.570297,0.37076554,0.2527618,0.48166198,0.49800113,1,1
148,0.5861386,0.3734329,0.2527618,0.47653243,0.50860304,1,1
149,0.570297,0.36543077,0.25541317,0.46678635,0.4938859,1,1
150,0.5750495,0.36020273,0.25700396,0.4716081,0.4924006,1,1
151,0.5762376,0.36809817,0.26071587,0.47371122,0.49913767,1,1
152,0.570297,0.35102695,0.26124614,0.4736599,0.4827754,1,1
153,0.58217824,0.35422778,0.2580645,0.46499103,0.491604,1,1
154,0.570297,0.3379568,0.26071587,0.45268017,0.47269434,1,1
155,0.570297,0.33267537,0.25912505,0.44472942,0.46862096,1,1
156,0.570297,0.33075488,0.25912505,0.44431907,0.46713978,1,1
157,0.570297,0.33075488,0.25659156,0.44780713,0.46713978,1,1
158,0.570297,0.3254201,0.2537929,0.44267762,0.4630254,1,1
159,0.570297,0.32435316,0.2595964,0.43795845,0.46220252,1,1
160,0.570297,0.3254201,0.25229046,0.43077713,0.4630254,1,1
161,0.570297,0.31368366,0.25464723,0.4203129,0.4539742,1,1
162,0.570297,0.3147506,0.25438207,0.41779944,0.454797,1,1
163,0.570297,0.31581756,0.25287965,0.41538855,0.4556198,1,1
164,0.570297,0.30941585,0.25511858,0.4149782,0.45068297,1,1
165,0.570297,0.30941585,0.25511858,0.4193383,0.45068297,1,1
166,0.570297,0.30941585,0.25229046,0.41559374,0.45068297,1,1
167,0.570297,0.3120832,0.25231993,0.40420622,0.45273995,1,1
168,0.570297,0.32008535,0.25064075,0.41538855,0.45891115,1,1
169,0.570297,0.31795144,0.25287965,0.41538855,0.45726547,1,1
170,0.5607921,0.31154975,0.25511858,0.4136958,0.4473341,1,1
171,0.56554455,0.31795144,0.25511858,0.40420622,0.45476082,1,1
172,0.56435645,0.31741798,0.25511858,0.40087202,0.4537243,1,1
173,0.5607921,0.30002668,0.25511858,0.40246218,0.43846992,1,1
174,0.55841583,0.33075488,0.25511858,0.4052321,0.46085286,1,1
175,0.570297,0.3006135,0.25511858,0.40061554,0.44389504,1,1
176,0.56554455,0.31581756,0.25511858,0.39528084,0.4531172,1,1
177,0.56237626,0.29963547,0.25511858,0.3990767,0.43899688,1,1
178,0.5524753,0.30354762,0.25511858,0.40497562,0.43683028,1,1
179,0.55603963,0.2976794,0.25511858,0.40779686,0.43418425,1,1
180,0.54653466,0.295012,0.25511858,0.3990767,0.42718792,1,1
181,0.54653466,0.3006135,0.25511858,0.39394715,0.43148082,1,1
182,0.54653466,0.2999911,0.25511858,0.39343423,0.43100384,1,1
183,0.5607921,0.28914377,0.25511858,0.3946653,0.43009868,1,1
184,0.5524753,0.2976794,0.25099427,0.3967684,0.43232596,1,1
185,0.5512871,0.30685517,0.25346884,0.40677097,0.43874788,1,1
186,0.56435645,0.31741798,0.25511858,0.41754296,0.4537243,1,1
187,0.570297,0.30941585,0.25511858,0.42010772,0.45068297,1,1
188,0.570297,0.31170216,0.25511858,0.42438233,0.4524461,1,1
189,0.570297,0.3139885,0.25511858,0.4286569,0.45420927,1,1
190,0.570297,0.32008535,0.25511858,0.4383175,0.45891115,1,1
191,0.570297,0.32008535,0.25236902,0.43378645,0.45891115,1,1
192,0.570297,0.31795144,0.2501694,0.4287253,0.45726547,1,1
193,0.570297,0.32719836,0.25511858,0.43789005,0.46439683,1,1
194,0.570297,0.31652886,0.25236902,0.43276054,0.45616835,1,1
195,0.570297,0.33075488,0.2489321,0.4365222,0.46713978,1,-1
196,0.570297,0.33075488,0.24961948,0.4365222,0.46713978,1,-1
197,0.55603963,0.32648706,0.2501694,0.43549627,0.45631814,1,-1
198,0.55603963,0.32648706,0.25181913,0.43713772,0.45631814,1,-1
199,0.55603963,0.32435316,0.24851966,0.4289305,0.45467848,1,-1
200,0.5524753,0.32008535,0.25099427,0.4172865,0.44952503,1,-1
201,0.54653466,0.31368366,0.24851966,0.40923312,0.4414981,1,-1
202,0.54653466,0.30941585,0.24686994,0.402257,0.4382271,1,-1
203,0.54653466,0.30941585,0.24686994,0.41251603,0.4382271,1,-1
204,0.54653466,0.30941585,0.24686994,0.40677097,0.4382271,1,-1
205,0.54653466,0.30002668,0.24686994,0.3967171,0.43103108,1,-1
206,0.54653466,0.2976794,0.24686994,0.39599898,0.42923215,1,-1
207,0.54653466,0.2976794,0.24686994,0.39630675,0.42923215,1,-1
208,0.54653466,0.2976794,0.24686994,0.39343423,0.42923215,1,-1
209,0.5413069,0.2955455,0.24686994,0.38686842,0.42487985,1,-1
210,0.5360792,0.29127768,0.24686994,0.39015132,0.41890433,1,-1
211,0.54653466,0.29412287,0.24686994,0.38454303,0.42650652,1,-1
212,0.5269307,0.28247532,0.24686994,0.37881508,0.4074594,1,-1
213,0.5360792,0.28914377,0.24686994,0.3764042,0.4172734,1,-1
214,0.52039605,0.27740732,0.24686994,0.37250578,0.40023828,1,-1
215,0.5269307,0.27980796,0.24686994,0.37163374,0.4054257,1,-1
216,0.52039605,0.27740732,0.24686994,0.36388817,0.40023828,1,-1
217,0.52039605,0.27980796,0.24686994,0.35368043,0.4020655,1,-1
218,0.52039605,0.27923003,0.24686994,0.35437292,0.4016256,1,1
219,0.52039605,0.27865207,0.24686994,0.3550654,0.40118572,1,1
220,0.52039605,0.2694052,0.24686994,0.35521927,0.3941477,1,1
221,0.52039605,0.28316885,0.24522021,0.35321876,0.40462363,1,1
222,0.52039605,0.30002668,0.24663426,0.3645037,0.41745558,1,1
223,0.52039605,0.33555615,0.24451318,0.3785586,0.44450372,1,1
224,0.52039605,0.31928515,0.1827957,0.3913824,0.4321162,1,1
225,0.52039605,0.30941585,0.0,0.38779175,0.424603,1,1
226,0.5108911,0.30706856,0.0,0.37332648,0.4178863,0,0
227,0.50455445,0.30941585,0.0,0.36094725,0.4163852,0,0
228,0.51445544,0.30648172,0.0,0.36240062,0.41928768,0,0
229,0.50257427,0.2976794,0.0,0.3634265,0.40646708,0,0
230,0.49663365,0.3006135,0.0,0.3626571,0.4056279,0,0
231,0.49663365,0.30002668,0.0,0.35998973,0.40518394,0,0
232,0.48950496,0.29412287,0.0,0.35068822,0.3970572,0,0
233,0.48807922,0.29341158,0.0,0.34778148,0.39578894,0,0
234,0.48237625,0.28736553,0.0,0.34444728,0.38830972,0,0
235,0.48950496,0.29056638,0.0,0.34350687,0.39437166,0,0
236,0.47524753,0.28700987,0.0,0.34265196,0.38440308,0,0
237,0.47524753,0.28700987,0.0,0.342139,0.38440308,0,0
238,0.47524753,0.28124833,0.0,0.3380354,0.38006872,0,0
239,0.47524753,0.28700987,0.0,0.33324784,0.38440308,0,0
240,0.45940593,0.27740732,0.0,0.3294862,0.36914423,0,0
241,0.45148516,0.27740732,0.0,0.32700694,0.3651376,0,0
242,0.46336633,0.27980796,0.0,0.32598102,0.37295064,0,0
243,0.45148516,0.27740732,0.0,0.32127896,0.3651376,0,0
244,0.45148516,0.27740732,0.0,0.31854323,0.3651376,0,0
245,0.45940593,0.27740732,0.0,0.31307173,0.36914423,0,0
246,0.45148516,0.27740732,0.0,0.30725828,0.3651376,0,0
247,0.45148516,0.27473992,0.0,0.29597333,0.36314338,0,0
248,0.44356436,0.2738508,0.0,0.30341113,0.3584847,0,0
249,0.44356436,0.2738508,0.0,0.2983671,0.3584847,0,0
250,0.42772278,0.26460388,0.0,0.29658887,0.34364784,0,0
251,0.42249504,0.2667378,0.0,0.29392153,0.3426179,0,0
252,0.42249504,0.26246998,0.0,0.2941267,0.33945128,0,0
253,0.41465348,0.2667378,0.0,0.29494742,0.3387006,0,0
254,0.41029704,0.2560683,0.0,0.28639823,0.328636,0,0
255,0.40158415,0.2560683,0.0,0.2857143,0.32431382,0,0
256,0.40158415,0.25873566,0.0,0.27827647,0.32628217,0,0
257,0.40158415,0.2560683,0.0,0.2718646,0.32431382,0,0
258,0.40158415,0.2560683,0.0,0.27417287,0.32431382,0,0
259,0.3837624,0.24726593,0.0,0.27673763,0.30903447,0,0
260,0.38574257,0.25215614,0.0,0.27135164,0.31360233,0,0
261,0.37782177,0.24433182,0.0,0.27032572,0.30396268,0,0
262,0.37782177,0.24433182,0.0,0.26904336,0.30396268,0,0
263,0.37782177,0.24433182,0.0,0.26827392,0.30396268,0,0
264,0.37247524,0.24433182,0.0,0.26622212,0.30134097,0,0
265,0.37247524,0.24166444,0.0,0.2587843,0.29938763,0,0
266,0.3692673,0.24006401,0.0,0.24714029,0.29664674,0,0
267,0.35643566,0.2336623,0.0,0.24433616,0.28571436,0,0
268,0.35643566,0.2336623,0.0,0.24339575,0.28571436,0,0
269,0.35643566,0.2336623,0.0,0.24672993,0.28571436,0,0
270,0.35643566,0.2336623,0.0,0.23980507,0.28571436,0,0
271,0.34217823,0.22790077,0.0,0.23667607,0.27460727,0,0
272,0.33267328,0.22405975,0.0,0.23441908,0.2672324,0,0
273,0.33267328,0.22405975,0.0,0.233188,0.2672324,0,0
274,0.33267328,0.22646038,0.0,0.2321108,0.2689721,0,0
275,0.30891088,0.23046146,0.0,0.22860563,0.26042536,0,0
276,0.30891088,0.22405975,0.0,0.22903308,0.25581473,0,0
277,0.32079208,0.22405975,0.0,0.22646832,0.26151583,0,0
278,0.30891088,0.22405975,0.0,0.21834658,0.25581473,0,0
279,0.30891088,0.22405975,0.0,0.21595281,0.25581473,0,0
280,0.30891088,0.22405975,0.0,0.21415748,0.25581473,0,0
281,0.30891088,0.22405975,0.0,0.21424296,0.25581473,0,0
282,0.30891088,0.218725,0.0,0.21364452,0.25197265,0,0
283,0.30891088,0.22139238,0.0,0.21338806,0.25389367,0,0
284,0.30891088,0.21605761,0.0,0.20518081,0.25005165,0,0
285,0.30891088,0.218725,0.0,0.20389843,0.25197265,0,0
286,0.30891088,0.21605761,0.0,0.19902539,0.25005165,0,0
287,0.30891088,0.21339023,0.0,0.19928187,0.24813066,0,0
288,0.30891088,0.21339023,0.0,0.19817047,0.24813066,0,0
289,0.30891088,0.21339023,0.0,0.19440882,0.24813066,0,0
290,0.30891088,0.21339023,0.0,0.19004872,0.24813066,0,0
291,0.30237624,0.21072286,0.0,0.19184406,0.24309707,0,0
292,0.28277227,0.20272073,0.0,0.19475079,0.22806343,0,0
293,0.29148516,0.19489641,0.0,0.19158758,0.22657418,0,0
294,0.28277227,0.1997866,0.0,0.18799692,0.22596486,0,0
295,0.28277227,0.19391838,0.0,0.18004617,0.22176778,0,0
296,0.28277227,0.19685249,0.0,0.18055911,0.2238663,0,0
297,0.2768317,0.19098426,0.0,0.17902026,0.21687816,0,0
298,0.2669307,0.20272073,0.0,0.1827819,0.2205942,0,0
299,0.2708911,0.1997866,0.0,0.18158503,0.2203669,0,0
300,0.26495048,0.1997866,0.0,0.17594256,0.2175736,0,0
301,0.27485147,0.20272073,0.0,0.17696846,0.22432543,0,0
302,0.28277227,0.1997866,0.0,0.17337778,0.22596486,0,0
303,0.26495048,0.19098426,0.0,0.1744037,0.21130726,0,0
304,0.2590099,0.19685249,0.0,0.17081302,0.21269853,0,0
305,0.2590099,0.1997866,0.0,0.16722237,0.21478412,0,0
306,0.2590099,0.19098426,0.0,0.16328973,0.20852749,0,0
307,0.2590099,0.19489641,0.0,0.16465761,0.21130818,0,0
308,0.2590099,0.19098426,0.0,0.16209285,0.20852749,0,0
309,0.2590099,0.19098426,0.0,0.16106693,0.20852749,0,0
310,0.25045544,0.18671645,0.0,0.16383688,0.20150459,0,0
311,0.24475248,0.18387125,0.0,0.16157989,0.19683455,0,0
312,0.241901,0.18244866,0.0,0.15583482,0.19450308,0,0
313,0.23762377,0.18031475,0.0,0.15576644,0.19101034,0,0
314,0.23762377,0.18031475,0.0,0.15809181,0.19101034,0,0
315,0.23762377,0.18031475,0.0,0.15816021,0.19101034,0,0
316,0.23762377,0.18031475,0.0,0.15388562,0.19101034,0,0
317,0.23762377,0.18031475,0.0,0.15371463,0.19101034,0,0
318,0.23762377,0.17791411,0.0,0.15055142,0.18931364,0,0
319,0.23762377,0.17551348,0.0,0.14516543,0.18761693,0,0
320,0.23762377,0.17711389,0.0,0.14140378,0.18874806,0,0
321,0.23762377,0.17071219,0.0,0.13736856,0.1842236,0,0
322,0.23762377,0.18031475,0.0,0.14345558,0.19101034,0,0
323,0.23168316,0.17071219,0.0,0.14140378,0.18148339,0,0
324,0.22970296,0.17071219,0.0,0.13952295,0.18057081,0,0
325,0.21980198,0.1680448,0.0,0.13490638,0.17413774,0,0
326,0.21386139,0.16537744,0.0,0.13541934,0.16953816,0,0
327,0.21980198,0.16537744,0.0,0.1261862,0.17226137,0,0
328,0.21386139,0.16004267,0.0,0.12875096,0.16579132,0,0
329,0.22178218,0.16004267,0.0,0.12772506,0.16941534,0,0
330,0.21386139,0.16004267,0.0,0.12900744,0.16579132,0,0
331,0.21386139,0.16004267,0.0,0.121313155,0.16579132,0,0
332,0.21386139,0.16004267,0.0,0.12362144,0.16579132,0,0
333,0.21386139,0.16004267,0.0,0.122595534,0.16579132,0,0
334,0.21386139,0.1573753,0.0,0.121313155,0.16391793,0,0
335,0.21386139,0.15292966,0.0,0.119517826,0.16079567,0,0
336,0.21386139,0.14643905,0.0,0.12105668,0.15623729,0,0
337,0.21386139,0.14643905,0.0,0.122595534,0.15623729,0,0
338,0.21386139,0.14937316,0.0,0.120800205,0.15829791,0,0
339,0.21386139,0.14937316,0.0,0.11669659,0.15829791,0,0
340,0.21980198,0.14937316,0.0,0.11618364,0.16100366,0,0
341,0.21386139,0.14937316,0.0,0.108574845,0.15829791,0,0
342,0.22178218,0.14937316,0.0,0.10310336,0.1619064,0,0
343,0.21386139,0.13790344,0.0,0.11310592,0.15024292,0,0
344,0.21386139,0.14643905,0.0,0.11490126,0.15623729,0,0
345,0.21386139,0.14937316,0.0,0.110541165,0.15829791,0,0
346,0.21386139,0.14937316,0.0,0.11259297,0.15829791,0,0
347,0.21386139,0.14937316,0.0,0.110541165,0.15829791,0,0
348,0.21386139,0.14937316,0.0,0.10864324,0.15829791,0,0
349,0.21386139,0.14937316,0.0,0.099512696,0.15829791,0,0
350,0.21386139,0.14233129,0.0,0.099820465,0.15335247,0,0
351,0.21386139,0.1376367,0.0,0.09763187,0.1500556,0,0
352,0.21386139,0.1376367,0.0,0.09592203,0.1500556,0,0
353,0.21980198,0.1376367,0.0,0.09463965,0.15274854,0,0
354,0.21386139,0.1376367,0.0,0.09797384,0.1500556,0,0
355,0.21386139,0.1376367,0.0,0.09797384,0.1500556,0,0
356,0.21386139,0.1376367,0.0,0.09387022,0.1500556,0,0
357,0.21386139,0.13496932,0.0,0.09438317,0.14818242,0,0
358,0.21386139,0.1376367,0.0,0.09463965,0.1500556,0,0
359,0.21386139,0.13496932,0.0,0.09489613,0.14818242,0,0
360,0.21386139,0.13123499,0.0,0.09961528,0.14556,0,0
361,0.20792079,0.12963457,0.0,0.0951526,0.14175555,0,0
362,0.20792079,0.13230194,0.0,0.09387022,0.1436258,0,0
363,0.21386139,0.12696719,0.0,0.09817902,0.14256299,0,0
364,0.1980198,0.12696719,0.0,0.09250235,0.1354307,0,0
365,0.19485149,0.12696719,0.0,0.08894588,0.13400733,0,0
366,0.1960396,0.12696719,0.0,0.091305465,0.13454098,0,0
367,0.19009902,0.12696719,0.0,0.09592203,0.13187425,0,0
368,0.19009902,0.12696719,0.0,0.09489613,0.13187425,0,0
369,0.19009902,0.123126164,0.0,0.09263914,0.12919371,0,0
370,0.19009902,0.12376634,0.0,0.08908267,0.12964046,0,0
371,0.19009902,0.12456655,0.0,0.091561936,0.1301989,0,0
372,0.19009902,0.12696719,0.0,0.09566555,0.13187425,0,0
373,0.19009902,0.12696719,0.0,0.09421219,0.13187425,0,0
374,0.19009902,0.12696719,0.0,0.09387022,0.13187425,0,0
375,0.19009902,0.12696719,0.0,0.08438061,0.13187425,0,0
376,0.19009902,0.12696719,0.0,0.08309823,0.13187425,0,0
377,0.18356435,0.12696719,0.0,0.07899462,0.12894502,0,0
378,0.19009902,0.12696719,0.0,0.081046425,0.13187425,0,0
379,0.18356435,0.12696719,0.0,0.08361118,0.12894502,0,0
380,0.18138614,0.12696719,0.0,0.08181585,0.1279696,0,0
381,0.19009902,0.12696719,0.0,0.08395315,0.13187425,0,0
382,0.1639604,0.11736463,0.0,0.08429512,0.11352811,0,0
383,0.1639604,0.12216591,0.0,0.082841754,0.11685585,0,0
384,0.1639604,0.119765274,0.0,0.08489356,0.115191974,0,0
385,0.1639604,0.123126164,0.0,0.07848166,0.11752141,0,0
386,0.1639604,0.12376634,0.0,0.07369411,0.11796512,0,0
387,0.1639604,0.119765274,0.0,0.06924853,0.115191974,0,0
388,0.1639604,0.11736463,0.0,0.07053091,0.11352811,0,0
389,0.1639604,0.11736463,0.0,0.06899205,0.11352811,0,0
390,0.1639604,0.11736463,0.0,0.06668376,0.11352811,0,0
391,0.1639604,0.11736463,0.0,0.0684791,0.11352811,0,0
392,0.1639604,0.11736463,0.0,0.06651278,0.11352811,0,0
393,0.1639604,0.1093625,0.0,0.06796615,0.10798203,0,0
394,0.1639604,0.1093625,0.0,0.05873301,0.10798203,0,0
395,0.1639604,0.106695116,0.0,0.063349575,0.10613338,0,0
396,0.1639604,0.106695116,0.0,0.06873557,0.10613338,0,0
397,0.1639604,0.106695116,0.0,0.06993246,0.10613338,0,0
